id,price,quantity
1299,0,40
1098,0,10
1128,0,10
1399,0,10
1400,0,8
1484,0,7
1300,0,10
1485,0,5
1006,0,300
1131,0,45
1042,0,400
1206,0,10
1005,0,196
1032,0,12
1138,0,30
1001,0,2000
1046,0,500
1059,0,100
1022,0,60
1020,0,230
1660,0,3860
1451,0,5
1069,0,10
1328,0,100
1226,0,25
1434,0,10
1176,0,6
1122,0,125
1044,0,200
1490,0,40
1896,0,5
1897,0,20
1920,0,20
1895,0,2
1954,0,10
1894,0,3
1875,0,30
1169,0,8
1922,0,2
1870,0,9
1699,0,10
1924,0,40
1925,0,100
1061,0,10
1057,0,10
1007,0,300
1926,0,1
1903,0,15
1927,0,1
1892,0,2
1407,0,20
1460,0,2
1285,0,10
1002,0,300
1120,0,30
1929,0,5
1946,0,5
1779,0,3
1947,0,1
1961,0,2
1907,0,400
1156,0,10
1948,0,2
1931,0,2
1932,0,5
1950,0,5
1933,0,5
1960,0,5
1959,0,5
1900,0,3
1901,0,3
1936,0,1
1937,0,20
1886,0,20
1949,0,20
1394,0,20
1938,0,8
1939,0,8
1940,0,3
1962,0,2
1893,0,1
1912,0,2
1053,0,100
1951,0,1
1952,0,1
1956,0,2
1953,0,1
1522,0,600
1375,0,800
1524,0,600
1130,0,48
1109,0,5
1671,0,120
1958,0,5
1955,0,5
1943,0,10
1957,0,10
1916,0,30
1093,0,10
1099,0,10
1124,0,5
1010,0,100
1565,0,10
1239,0,10
1334,0,5
1021,0,50
1013,0,50
1072,0,30
1944,0,5
1945,0,5
1697,0,100
1583,0,50
1831,0,170
1713,0,500
1909,0,18
1048,0,100
1889,0,20
